Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2019-12-19,INDO,,7.5312,0.2696,0.244467,0.936083,5.5036,-1.552508,1.188868,,1.0,1.7261,1.4592,-0.067304,-0.382863,-0.400094,-0.103356,0.063917,-13199728,Indonesia,0.0,FALSE,1311,11.0,3.42,
2019-12-13,SPT,13.7404,9.2537,0.5417,,1.0,3.6472,-1.715744,,-95.9541,0.72588,-28.6092,1.4797,-0.202785,-0.460222,-0.455733,-0.365309,0.0,160631054.8,United States of America,0.0,FALSE,7372,18.05,60.54,
2019-11-22,CHPM,,,0.0066,,-0.174576,,,,,,0.0078,1.1298,89.361458,,-12.318594,0.548639,0.000333,679119411,United States of America,0.0,FALSE,6770,9.9,10.13,
2019-11-13,YAYO,7.3916,,1.0825,,0.0,0.7904,,,,0.324088,-4.533,-6.2368,-1.284815,-0.407051,-0.568369,,0.226015,36074768.8,United States of America,0.0,True,7374,4.05,1.0,
2019-11-05,QK,4.2547,280.2559,0.9473,,3.57279,0.1035,-5.312997,-0.283622,,0.003765,-2.7162,-0.924,0.516473,-1.242403,-1.269609,0.76526,-1.358706,275307672,,0.0,FALSE,6510,17.35,0.45,
2019-10-25,HAPP,12.1812,2.0971,0.863,0.247384,0.9751,12.7072,-0.282615,0.356138,119.9545,0.467544,1.368,1.0731,0.004803,0.236678,0.195015,0.159417,0.0249,,China,0.0,,2833,0.8706,0.395,
2019-09-19,XGN,13.6537,6.9233,0.6892,,0.682824,13.7829,,,,0.534306,4.2833,2.3954,-0.119591,-0.230247,-0.298066,-0.216281,0.0,44670783.4,United States of America,0.0,FALSE,8071,16.8,8.75,
2019-08-01,KRUS,12.3732,54.7232,0.8408,-1.86851,1.0,5.0055,0.081402,,-119.9474,0.290482,5.3234,1.2288,-0.006881,0.025854,0.022663,0.023416,0.0,102236400,United States of America,0.0,FALSE,5812,14.89,43.78,
2019-07-25,HCAT,27.731,5.6071,0.7497,-1.57452,0.806304,5.4802,0.135888,,-7.2066,0.513718,6.652,1.7535,-0.229364,-0.354103,-0.387864,-0.299516,0.0,470239829.3,United States of America,0.0,FALSE,7370,37.5,28.11,
2019-07-19,AFYA,1.413,7.9756,0.4153,-0.528173,0.861087,2.8834,1.308339,-0.388361,,0.550625,0.8247,1.4178,-0.402319,0.444428,0.215328,0.083658,0.0,,Brazil,0.0,FALSE,8200,23.5,12.62,
2019-07-18,PHR,9.1574,6.5588,1.1447,-0.644159,0.810195,3.7207,-2.327133,0.396331,-8.1242,0.641621,4.0466,2.2388,-0.536821,-0.122596,-0.162625,-0.199215,0.018484,286380908.6,United States of America,0.0,api_500,7389,26.75,29.99,
2019-07-18,AMK,182.6741,45.3317,0.3578,-0.034347,0.875895,3.1954,-0.303401,0.96338,-2.3899,0.629132,0.4896,1.4996,-0.00549,0.070513,-0.001005,-0.000489,0.0,1933060008,United States of America,0.0,FALSE,6282,25.45,23.24,
