Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcffqoqgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,Itdebttocap,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price
2019-10-25,HAPP,12.1812,2.0971,0.863,0.247384,0.9751,12.7072,-0.282615,,0.18311,0.356138,,119.9545,0.467544,1.368,1.0731,,0.004803,0.236678,0.195015,0.159417,0.0249,,China,,,2833,0.8706,0.395
2019-10-25,CABA,,,,,1,44.6622,,,,,,,,,1.0238,,-0.028376,,,-0.12249,0,,United States of America,,FALSE,2836,9,2.84
2019-10-18,LATN,,,0.0135,,0.028292,,,,,,,,,0.0077,1.1464,,,,-9.174158,-2.509902,0,254951921,United States of America,,FALSE,6770,9.85,
2019-10-16,KRAT,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,3911,,
2019-10-03,APRE,,,,,1,14.682,-0.807108,,,,,,,,1.0768,,-0.075384,,,-0.225845,0,145365213.5,United States of America,,FALSE,2834,15.46,2.24
2019-09-27,EDR,,,,,,,,,,,,,,,,,,,,,,21007847409,United States of America,,FALSE,7900,27,28.51
2019-09-19,XGN,13.6537,6.9233,0.6892,,0.682824,13.7829,,,,,,,0.534306,4.2833,2.3954,,-0.119591,-0.230247,-0.298066,-0.216281,0,44670783.4,United States of America,,FALSE,8071,16.8,8.75
2019-09-17,APXT,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,5.31
2019-09-13,SWTX,,,,,1,27.6826,-2.196222,,,,,,,,1.0481,,-0.08998,,,-0.181034,0,-328628000,United States of America,,FALSE,2836,24.5,55.15
2019-09-09,NPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2019-08-08,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81,4.65
2019-08-01,KRUS,12.3732,54.7232,0.8408,-1.86851,1,5.0055,0.081402,,0.044619,,,-119.9474,0.290482,5.3234,1.2288,,-0.006881,0.025854,0.022663,0.023416,0,102236400,United States of America,,FALSE,5812,14.89,43.78
2019-07-26,SBE,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65,12.5
